,race,sex,age_cat,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid,sensitive
233,Caucasian,Male,2,0,0,0,0,1,0,CM
234,Caucasian,Male,1,0,0,0,1,1,1,CM
235,African-American,Male,2,0,0,0,0,1,0,AM
236,Caucasian,Male,1,0,0,0,0,1,0,CM
237,African-American,Male,1,0,0,1,1,0,1,AM
238,Caucasian,Male,1,0,0,0,0,1,0,CM
239,African-American,Male,0,0,0,0,0,1,0,AM
240,African-American,Male,1,0,0,0,0,1,0,AM
241,Hispanic,Male,1,0,0,0,0,1,0,HM
242,Caucasian,Male,1,0,0,0,0,1,1,CM
243,Caucasian,Male,1,0,0,0,0,1,1,CM
244,African-American,Male,1,0,1,0,1,1,0,AM
245,African-American,Male,1,0,1,0,0,0,0,AM
246,Caucasian,Male,2,0,0,0,0,0,0,CM
247,African-American,Male,1,0,0,0,2,1,1,AM
248,Caucasian,Male,1,0,0,0,0,0,1,CM
249,African-American,Male,1,0,0,0,0,1,0,AM
250,Caucasian,Male,0,0,0,1,0,0,1,CM
251,Minority,Female,1,0,0,0,0,0,0,MF
252,Minority,Female,1,0,0,0,0,1,0,MF
253,Caucasian,Male,1,0,0,0,0,1,1,CM
254,Caucasian,Male,1,0,0,0,0,1,0,CM
255,African-American,Male,0,0,0,0,0,0,1,AM
256,Caucasian,Female,0,0,0,0,0,0,1,CF
257,African-American,Male,1,0,0,0,0,0,1,AM
258,Hispanic,Female,1,0,0,0,0,0,0,HF
259,Hispanic,Male,0,0,0,1,0,1,1,HM
260,Caucasian,Female,0,0,0,1,0,1,1,CF
261,Hispanic,Male,0,0,0,0,0,0,0,HM
262,African-American,Male,1,0,0,0,0,0,0,AM
263,African-American,Male,0,0,0,0,0,1,1,AM
264,African-American,Male,1,0,0,0,0,1,1,AM
265,Minority,Male,1,0,0,0,0,1,0,MM
266,African-American,Male,1,0,0,0,0,1,0,AM
267,Caucasian,Male,1,0,0,0,0,0,0,CM
268,African-American,Female,1,0,0,0,0,1,0,AF
269,African-American,Male,0,0,0,0,0,1,0,AM
270,Hispanic,Male,0,0,0,1,0,1,0,HM
271,African-American,Female,2,0,0,0,0,1,0,AF
272,African-American,Female,0,0,0,0,0,1,1,AF
273,African-American,Female,2,0,0,0,0,1,0,AF
274,African-American,Male,2,0,0,0,0,1,1,AM
275,Caucasian,Male,1,0,0,0,0,1,0,CM
276,Caucasian,Male,1,0,0,0,0,1,1,CM
277,African-American,Male,1,0,0,0,1,1,1,AM
278,African-American,Male,0,0,1,1,0,0,1,AM
279,Caucasian,Female,0,0,0,0,0,1,0,CF
280,African-American,Male,1,0,0,0,0,1,0,AM
281,Caucasian,Male,1,0,0,0,0,1,0,CM
282,African-American,Female,1,0,0,0,0,0,0,AF
283,Minority,Female,1,0,0,0,0,1,0,MF
284,African-American,Male,1,0,0,0,2,0,0,AM
285,African-American,Male,2,0,0,0,0,1,1,AM
286,African-American,Male,1,0,0,0,0,1,0,AM
287,Caucasian,Male,1,0,0,0,0,1,0,CM
288,African-American,Male,1,0,0,0,0,0,1,AM
289,Caucasian,Male,2,0,0,0,0,0,0,CM
290,Caucasian,Male,2,0,0,0,0,1,1,CM
291,Caucasian,Male,2,0,0,0,0,1,0,CM
292,African-American,Male,0,0,0,0,0,0,1,AM
293,African-American,Male,1,0,0,0,0,0,1,AM
294,Hispanic,Male,1,0,0,0,0,1,1,HM
295,Caucasian,Male,1,0,0,0,0,0,0,CM
296,African-American,Male,0,0,0,0,0,1,1,AM
297,African-American,Male,1,0,0,0,0,0,0,AM
298,Caucasian,Male,0,0,0,0,0,1,1,CM
299,African-American,Male,1,0,0,0,0,1,1,AM
300,African-American,Male,1,0,0,0,0,1,0,AM
301,African-American,Male,1,0,0,0,0,1,1,AM
302,Minority,Male,0,0,0,0,0,1,0,MM
303,Caucasian,Male,1,0,0,0,0,0,1,CM
304,Caucasian,Male,2,0,0,0,0,1,0,CM
305,African-American,Female,0,0,0,0,0,0,0,AF
306,African-American,Male,0,0,0,0,0,1,0,AM
307,African-American,Male,0,0,0,1,0,0,1,AM
308,Caucasian,Male,2,0,0,0,0,1,0,CM
309,African-American,Male,1,1,0,1,0,0,1,AM
310,Caucasian,Male,1,0,0,0,0,1,0,CM
311,Minority,Male,1,0,0,0,0,1,1,MM
312,African-American,Female,1,0,0,0,0,1,0,AF
313,Hispanic,Male,0,0,0,0,0,1,0,HM
314,African-American,Male,1,0,0,0,0,0,0,AM
315,Caucasian,Male,1,0,0,0,0,0,1,CM
316,Caucasian,Male,1,0,0,0,0,0,1,CM
317,Caucasian,Female,1,0,0,0,0,1,0,CF
318,Minority,Male,0,0,1,0,0,1,1,MM
319,African-American,Male,1,0,0,0,0,1,0,AM
320,African-American,Male,0,0,0,0,0,1,1,AM
321,Caucasian,Female,2,0,0,0,0,0,0,CF
322,Caucasian,Male,2,0,0,0,0,0,0,CM
323,African-American,Male,1,0,0,0,0,1,0,AM
324,African-American,Male,0,0,0,0,0,1,1,AM
325,Caucasian,Male,2,0,0,0,0,1,0,CM
326,Caucasian,Male,1,0,0,0,0,1,0,CM
327,African-American,Male,0,0,1,0,0,1,1,AM
328,Caucasian,Male,2,0,0,0,2,1,1,CM
329,Caucasian,Male,1,0,0,0,0,0,1,CM
330,African-American,Male,2,0,0,0,0,1,0,AM
331,Hispanic,Male,0,0,1,0,0,1,0,HM
332,African-American,Female,1,0,0,0,0,1,0,AF
333,Caucasian,Female,1,0,0,0,0,0,1,CF
334,Hispanic,Female,0,0,0,0,0,0,0,HF
335,Caucasian,Male,1,0,0,0,0,1,0,CM
336,African-American,Female,0,0,0,0,0,1,1,AF
337,Caucasian,Male,1,0,0,0,0,0,0,CM
338,African-American,Male,0,0,0,0,0,1,0,AM
339,African-American,Male,1,0,0,0,0,1,1,AM
340,Minority,Male,1,0,0,0,0,1,1,MM
341,African-American,Male,1,0,0,0,0,1,0,AM
342,Caucasian,Female,1,0,0,0,0,0,0,CF
343,Hispanic,Male,2,0,0,0,0,0,0,HM
344,Minority,Male,1,0,0,0,0,1,0,MM
345,African-American,Female,1,0,0,0,0,1,0,AF
346,African-American,Male,1,0,1,0,1,1,1,AM
347,African-American,Male,0,0,0,1,0,1,0,AM
348,African-American,Male,2,0,0,0,0,1,0,AM
349,Hispanic,Female,1,0,0,0,0,1,1,HF
350,Caucasian,Male,1,0,0,0,0,1,0,CM
351,African-American,Male,0,0,1,0,0,1,1,AM
352,Hispanic,Male,1,0,0,0,0,0,0,HM
353,Minority,Male,1,0,0,0,0,0,0,MM
354,Caucasian,Female,0,0,0,1,0,1,0,CF
355,Caucasian,Male,2,0,0,0,0,0,0,CM
356,Caucasian,Male,0,0,0,0,0,1,0,CM
357,African-American,Male,1,0,0,1,0,0,1,AM
358,Caucasian,Male,0,0,0,0,0,1,0,CM
359,African-American,Female,0,0,0,0,0,1,1,AF
360,African-American,Male,2,0,0,0,0,1,0,AM
361,African-American,Male,1,0,0,1,0,0,0,AM
362,Caucasian,Female,2,0,0,0,0,0,0,CF
363,African-American,Female,1,0,0,0,0,0,0,AF
364,African-American,Male,0,1,0,0,0,1,1,AM
365,Hispanic,Male,1,0,0,0,0,0,1,HM
366,Minority,Female,0,1,0,0,0,1,0,MF
367,Hispanic,Male,1,0,0,0,0,1,0,HM
368,Caucasian,Male,1,0,0,0,0,1,0,CM
369,African-American,Male,0,0,1,0,0,1,0,AM
370,Caucasian,Male,0,0,0,0,0,0,1,CM
371,African-American,Male,2,0,0,0,1,1,0,AM
372,African-American,Male,0,0,0,0,0,1,1,AM
373,African-American,Male,0,0,0,0,0,1,1,AM
374,Caucasian,Male,1,0,0,0,0,0,0,CM
375,Caucasian,Female,2,0,0,0,0,0,1,CF
376,Caucasian,Male,1,0,0,0,0,1,1,CM
377,African-American,Male,1,0,0,0,0,1,1,AM
378,Caucasian,Female,2,0,0,0,0,0,0,CF
379,African-American,Female,0,0,0,0,0,1,0,AF
380,African-American,Male,1,0,0,0,0,1,0,AM
381,African-American,Male,1,0,0,0,0,0,0,AM
382,Caucasian,Male,0,0,0,0,0,0,0,CM
383,African-American,Male,1,1,1,0,0,1,1,AM
384,African-American,Male,0,0,0,0,0,1,1,AM
385,Caucasian,Male,0,0,0,0,0,0,0,CM
386,African-American,Male,1,0,0,0,2,1,1,AM
387,African-American,Male,1,0,0,0,0,1,0,AM
388,African-American,Male,2,0,0,0,0,1,0,AM
389,African-American,Male,2,0,0,0,0,1,0,AM
390,African-American,Male,1,0,0,0,0,1,0,AM
391,Caucasian,Male,2,1,0,0,2,1,1,CM
392,Caucasian,Female,2,0,0,0,0,0,0,CF
393,African-American,Male,1,0,0,0,1,1,1,AM
394,African-American,Male,1,0,0,0,0,1,0,AM
395,Caucasian,Male,1,0,0,0,0,0,0,CM
396,Hispanic,Female,1,0,0,0,0,1,0,HF
397,Caucasian,Male,2,0,0,0,0,1,1,CM
398,African-American,Male,1,0,0,0,1,1,1,AM
399,African-American,Male,1,1,0,0,0,1,0,AM
400,African-American,Male,0,0,0,1,0,0,1,AM
401,African-American,Male,1,0,0,1,0,1,0,AM
402,Caucasian,Male,1,0,0,0,0,1,0,CM
403,Caucasian,Male,2,0,0,0,0,1,0,CM
404,African-American,Male,2,0,0,0,0,1,0,AM
405,African-American,Male,1,0,0,0,0,1,1,AM
406,Caucasian,Male,2,0,0,0,0,1,1,CM
407,African-American,Male,1,0,0,0,0,1,0,AM
408,Minority,Male,2,0,0,0,0,1,0,MM
409,Hispanic,Male,0,0,0,0,0,0,0,HM
410,Caucasian,Female,1,0,0,0,0,0,0,CF
411,Caucasian,Male,2,0,0,0,0,0,0,CM
412,African-American,Female,0,0,0,0,0,1,0,AF
413,African-American,Female,1,0,0,0,0,1,1,AF
414,African-American,Male,2,0,0,0,1,1,0,AM
415,Caucasian,Male,1,0,0,0,0,0,1,CM
416,Hispanic,Male,0,0,0,0,0,0,0,HM
417,Caucasian,Male,0,0,0,0,0,1,0,CM
418,Caucasian,Female,2,0,0,0,0,0,0,CF
419,African-American,Male,1,0,0,0,0,0,1,AM
420,Caucasian,Male,0,0,0,0,0,1,1,CM
421,African-American,Male,1,0,0,0,0,1,1,AM
422,Minority,Male,1,0,0,0,0,1,0,MM
423,African-American,Male,0,0,0,0,0,1,1,AM
424,Caucasian,Male,1,0,0,0,0,0,1,CM
425,African-American,Male,1,0,0,0,0,1,0,AM
426,African-American,Male,2,0,0,0,2,0,1,AM
427,African-American,Male,0,0,0,0,0,1,0,AM
428,Hispanic,Male,2,0,0,0,0,0,1,HM
429,Caucasian,Male,1,0,0,0,0,1,0,CM
430,African-American,Male,2,0,0,0,0,1,1,AM
431,Caucasian,Male,1,0,0,0,0,0,0,CM
432,African-American,Male,1,0,0,0,0,1,0,AM
433,Caucasian,Male,0,0,1,1,0,1,1,CM
434,Caucasian,Male,1,0,0,0,0,1,0,CM
435,African-American,Male,1,0,0,0,0,1,0,AM
436,African-American,Female,0,0,0,0,0,1,1,AF
437,Caucasian,Male,0,0,0,1,0,1,1,CM
438,Caucasian,Male,1,0,0,0,0,0,0,CM
439,Caucasian,Female,0,0,0,0,0,1,0,CF
440,Caucasian,Male,1,0,0,0,0,0,0,CM
441,Hispanic,Male,1,0,0,0,0,1,1,HM
442,African-American,Male,0,1,0,1,0,1,1,AM
443,Hispanic,Male,1,0,0,0,0,0,1,HM
444,African-American,Male,0,0,0,0,0,0,1,AM
445,Caucasian,Male,2,0,0,0,0,1,0,CM
446,African-American,Female,2,0,0,0,0,1,0,AF
447,African-American,Male,1,0,0,0,0,0,0,AM
448,African-American,Male,1,0,0,0,0,1,0,AM
449,Caucasian,Male,0,0,0,0,0,0,0,CM
450,African-American,Male,2,0,0,0,1,1,0,AM
451,African-American,Female,2,0,0,0,0,1,1,AF
452,Caucasian,Male,1,0,0,0,0,0,1,CM
453,Minority,Male,0,0,0,1,0,1,1,MM
454,African-American,Male,1,0,0,0,1,0,1,AM
455,African-American,Female,2,0,0,0,1,1,0,AF
456,African-American,Male,1,0,0,0,0,0,1,AM
457,African-American,Male,1,0,0,0,0,1,1,AM
458,Caucasian,Male,2,0,0,0,0,1,1,CM
459,Caucasian,Male,1,0,0,0,0,1,1,CM
460,Minority,Female,1,0,0,0,0,1,1,MF
461,African-American,Male,2,0,0,0,0,1,1,AM
462,African-American,Male,1,1,1,0,0,1,1,AM
463,African-American,Male,1,0,0,0,0,1,0,AM
464,Caucasian,Male,2,0,0,0,0,1,0,CM
465,African-American,Male,1,0,0,0,0,1,0,AM
466,African-American,Male,0,1,1,1,0,1,0,AM
467,African-American,Male,2,0,0,0,2,1,1,AM
468,African-American,Male,1,0,0,1,0,1,1,AM
469,African-American,Female,0,1,0,0,0,1,1,AF
470,African-American,Male,2,0,0,0,0,0,0,AM
471,African-American,Male,2,0,0,0,1,0,1,AM
472,Caucasian,Male,0,0,0,1,0,0,1,CM
473,African-American,Male,1,0,0,0,0,0,0,AM
474,African-American,Male,0,0,0,0,0,1,1,AM
475,Caucasian,Male,2,0,0,0,0,1,0,CM
476,Hispanic,Male,0,0,0,0,0,1,0,HM
477,Caucasian,Male,1,0,0,0,0,1,0,CM
478,Caucasian,Male,2,0,0,0,0,1,0,CM
479,Caucasian,Male,1,0,0,0,0,1,1,CM
480,Caucasian,Male,2,0,0,0,0,1,0,CM
481,Hispanic,Male,1,0,0,0,0,1,1,HM
482,Caucasian,Male,2,0,0,0,0,1,1,CM
483,Minority,Male,1,0,0,0,0,1,0,MM
484,Hispanic,Male,2,0,0,0,0,1,0,HM
485,Hispanic,Male,1,0,0,0,0,0,0,HM
486,Caucasian,Female,0,0,0,1,0,1,1,CF
487,Caucasian,Male,0,0,0,1,0,0,1,CM
488,African-American,Male,1,0,0,0,0,0,0,AM
489,Minority,Male,2,0,0,0,0,1,1,MM
490,African-American,Male,1,0,0,0,0,1,0,AM
491,Caucasian,Female,1,0,0,0,0,0,0,CF
492,Caucasian,Male,1,0,0,0,0,1,1,CM
493,Caucasian,Male,1,0,0,0,0,0,1,CM
494,African-American,Male,2,0,0,0,0,0,0,AM
495,African-American,Male,1,0,0,0,0,1,1,AM
496,Caucasian,Female,2,0,0,0,0,0,0,CF
497,African-American,Male,1,0,0,0,0,1,0,AM
498,Hispanic,Female,0,0,0,0,0,1,1,HF
499,African-American,Male,1,0,0,0,0,1,1,AM
500,Caucasian,Male,1,0,0,0,0,0,1,CM
501,Hispanic,Male,1,0,0,0,0,1,1,HM
502,Hispanic,Male,2,0,0,0,1,1,0,HM
503,African-American,Male,2,0,0,0,2,1,1,AM
504,Caucasian,Male,1,0,0,0,0,1,0,CM
505,Caucasian,Male,2,0,0,0,0,0,0,CM
506,Caucasian,Male,1,0,0,0,0,1,0,CM
507,African-American,Male,1,0,0,0,0,1,0,AM
508,Caucasian,Male,2,0,0,0,0,0,0,CM
509,African-American,Female,1,0,0,0,1,0,0,AF
510,Minority,Male,2,0,0,0,1,1,0,MM
511,African-American,Female,1,0,0,0,0,0,0,AF
512,Caucasian,Female,2,0,0,0,0,0,0,CF
513,Hispanic,Male,1,0,0,0,0,0,0,HM
514,Minority,Male,1,0,0,0,0,0,0,MM
515,African-American,Male,1,0,0,0,0,0,0,AM
